repo_name,gl_web_url,bb_url,project_id
CoreLibraries.Logging,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Logging,http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.logging/browse,5478
TranscriptionAgent,https://tlvgit03.nice.com/fmc-rd/cs/cs/TranscriptionAgent,http://bitbucket.cssrd.local/projects/CS/repos/transcriptionagent/browse,5341
ApplicationPlugins.Fusion.Alarms,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.Alarms,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.alarms/browse,5468
ApplicationPlugins.Fusion.AuditTrail,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.AuditTrail,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.audittrail/browse,5469
ApplicationPlugins.Fusion.GlobalSettings,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.GlobalSettings,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.globalsettings/browse,5470
ApplicationPlugins.Fusion.LitigationHoldRules,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.LitigationHoldRules,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.litigationholdrules/browse,5472
ApplicationPlugins.Fusion.NtrClustersAdministration,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.NtrClustersAdministration,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.ntrclustersadministration/browse,5471
ApplicationPlugins.Fusion.NtrClustersStatus,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.NtrClustersStatus,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.ntrclustersstatus/browse,5473
ApplicationPlugins.Fusion.UserAdministration,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.UserAdministration,http://bitbucket.cssrd.local/projects/FP/repos/applicationplugins.fusion.useradministration/browse,5474
RabbitMQ,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/RabbitMQ,http://bitbucket.cssrd.local/projects/TPW/repos/rabbitmq/browse,5405
ApplicationFramework.Reporting,https://tlvgit03.nice.com/fmc-rd/cs/applicationframework/ApplicationFramework.Reporting,http://bitbucket.cssrd.local/projects/AP/repos/applicationframework.reporting/browse,5434
ApplicationPlugins.Labels,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.Labels,http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.labels/browse,5459
ApplicationPlugins.Monitoring,https://tlvgit03.nice.com/fmc-rd/cs/apl/ApplicationPlugins.Monitoring,http://bitbucket.cssrd.local/projects/APL/repos/applicationplugins.monitoring/browse,5440
ApplicationPlugins.RandomSampling,https://tlvgit03.nice.com/fmc-rd/cs/csp/ApplicationPlugins.RandomSampling,http://bitbucket.cssrd.local/projects/CSP/repos/applicationplugins.randomsampling/browse,5460
NiceTradingRecording.Shared,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Shared,http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.shared/browse,5452
NexidiaSearchgrid.Configurationplugin,https://tlvgit03.nice.com/fmc-rd/cs/cs/NexidiaSearchGrid.ConfigurationPlugin,http://bitbucket.cssrd.local/projects/CS/repos/nexidiasearchgrid.configurationplugin/browse,5348
Nice.ActiveIntelligenceEngine.ODBC,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine.ODBC,http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine.odbc/browse,5351
Nice.ApplicationPlugins.Explorer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ApplicationPlugins.Explorer,http://bitbucket.cssrd.local/projects/CS/repos/nice.applicationplugins.explorer/browse,5352
Nice.AppPlugins.FieldConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.AppPlugins.FieldConfiguration,http://bitbucket.cssrd.local/projects/CS/repos/nice.appplugins.fieldconfiguration/browse,5354
Nice.AppPlugins.IndexingConfiguration,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.AppPlugins.IndexingConfiguration,http://bitbucket.cssrd.local/projects/CS/repos/nice.appplugins.indexingconfiguration/browse,5375
Nice.NDR.Synchronization.Attivio,https://tlvgit03.nice.com/fmc-rd/cs/cs/nice.ndr.synchronization.attivio,http://bitbucket.cssrd.local/projects/CS/repos/nice.ndr.synchronization.attivio/browse,5356
Nice.ProActiveCompliance.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ProactiveCompliance.Installer,http://bitbucket.cssrd.local/projects/CS/repos/nice.proactivecompliance.installer/browse,5357
Bloomberg,https://tlvgit03.nice.com/fmc-rd/cs/siip/Bloomberg,http://bitbucket.cssrd.local/projects/SIIP/repos/bloomberg/browse,5483
MsgFileConnector,https://tlvgit03.nice.com/fmc-rd/cs/siip/MsgFileConnector,http://bitbucket.cssrd.local/projects/SIIP/repos/msgfileconnector/browse,5484
EmailMailBoxConnector,https://tlvgit03.nice.com/fmc-rd/cs/siip/EmailMailboxFileConnector,http://bitbucket.cssrd.local/projects/SIIP/repos/emailmailboxfileconnector/browse,5485
YieldBroker,https://tlvgit03.nice.com/fmc-rd/cs/siip/YieldBroker,http://bitbucket.cssrd.local/projects/SIIP/repos/yieldbroker/browse,5486
FXT,https://tlvgit03.nice.com/fmc-rd/cs/siip/FXT,http://bitbucket.cssrd.local/projects/SIIP/repos/fxt/browse,5487
TRC,https://tlvgit03.nice.com/fmc-rd/cs/siip/ThomsonReuters,http://bitbucket.cssrd.local/projects/SIIP/repos/thomsonreuters/browse,5488
Reconciliation Report,https://tlvgit03.nice.com/fmc-rd/cs/siip/ReconciliationReporting,http://bitbucket.cssrd.local/projects/SIIP/repos/reconciliationreporting/browse,5489
Base,https://tlvgit03.nice.com/fmc-rd/cs/sicc/Base,http://bitbucket.cssrd.local/projects/SICC/repos/base/browse,5481
StandardConnectivityKit,https://tlvgit03.nice.com/fmc-rd/cs/sicc/StandardConnectivityKit,http://bitbucket.cssrd.local/projects/SICC/repos/standardconnectivitykit/browse,5482
SmartIndex Linux Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/S3Downloader,http://bitbucket.cssrd.local/projects/CS/repos/s3downloader/browse,5382
Nice.ActiveIntelligence.Core,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine.Core,http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine.core/browse,5370
ActiveIntelligence.Installer.Utils,https://tlvgit03.nice.com/fmc-rd/cs/cs/Connectors,http://bitbucket.cssrd.local/projects/CS/repos/connectors/browse,5359
ActiveIntelligence.Setup,https://tlvgit03.nice.com/fmc-rd/cs/cs/ActiveIntelligenceEngine.Setup,http://bitbucket.cssrd.local/projects/CS/repos/activeintelligenceengine.setup/browse,5376
Nice.ActiveIntelligenceEngine,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ActiveIntelligenceEngine,http://bitbucket.cssrd.local/projects/CS/repos/nice.activeintelligenceengine/browse,5377
CommunicationWorkItemPublisher,https://tlvgit03.nice.com/fmc-rd/cs/cs/CommunicationWorkItemPublisher,http://bitbucket.cssrd.local/projects/CS/repos/communicationworkitempublisher/browse,5358
HTR,https://tlvgit03.nice.com/fmc-rd/cs/ex/nice-integration,http://bitbucket.cssrd.local/projects/EX/repos/nice-integration/browse,5464
Retention Manager,https://tlvgit03.nice.com/fmc-rd/cs/ex/Nice.SmartIndex.IndexRetentionManager,http://bitbucket.cssrd.local/projects/CS/repos/nice.smartindex.indexretentionmanager/browse,5465
BOA Scenario Report,https://tlvgit03.nice.com/fmc-rd/cs/cs/Scenario.Interaction.Details.Importer,http://bitbucket.cssrd.local/projects/CS/repos/scenario.interaction.details.importer/browse,5378
Monitoring Reporting,https://tlvgit03.nice.com/fmc-rd/cs/cs/CSMonitoringRepor,http://bitbucket.cssrd.local/projects/CS/repos/csmonitoringrepor/browse,5381
ApplicationPlugins.Fusion.CallSearch,https://tlvgit03.nice.com/fmc-rd/cs/fp/ApplicationPlugins.Fusion.CallSearch,http://bitbucket.cssrd.local/projects/fp/repos/applicationplugins.fusion.callsearch/browse,5475
MediaSources.NTR.Configuration,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Configuration,http://bitbucket.cssrd.local/projects/csms/repos/nicetradingrecording.configuration/browse,5512
NiceTradingRecording.ExternalUserSource,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.ExternalUserSource,http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.externalusersource/browse,5453
NiceTradingRecording.Plugin,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Plugin,http://bitbucket.cssrd.local/projects/csms/repos/nicetradingrecording.plugin/browse,5455
Nice.Microsoft.vcredist100_x64,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Nice.Microsoft.vcredist100,http://bitbucket.cssrd.local/projects/TPW/repos/nice.microsoft.vcredist100/browse,5390
Erlang,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Erlang,http://bitbucket.cssrd.local/projects/TPW/repos/erlang/browse,5412
Alvas.Audio,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/Alvas.Audio,http://bitbucket.cssrd.local/projects/TPW/repos/alvas.audio/browse,5394
ApplicationFramework.ConfigurationService,https://tlvgit03.nice.com/fmc-rd/cs/cs/ApplicationFramework.ConfigurationService,http://bitbucket.cssrd.local/projects/CS/repos/applicationframework.configurationservice/browse,5361
Nice.ProactiveCompliance.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.ProactiveCompliance.Installer,http://bitbucket.cssrd.local/projects/CS/repos/nice.proactivecompliance.installer/browse,5357
SmartIndexInstaller.Linux,https://tlvgit03.nice.com/fmc-rd/cs/cs/SmartIndexInstaller.Linux,http://bitbucket.cssrd.local/projects/CS/repos/smartindexinstaller.linux/browse,5362
TranscriptionAgent.Bootstrapper,https://tlvgit03.nice.com/fmc-rd/cs/cs/TranscriptionAgent.Bootstrapper,http://bitbucket.cssrd.local/projects/CS/repos/transcriptionagent.bootstrapper/browse,5371
Supervision.Installer,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Installer,http://bitbucket.cssrd.local/projects/SUP/repos/supervision.installer/browse,5494
Supervision.Reconcilliation,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Reconcilliation,http://bitbucket.cssrd.local/projects/SUP/repos/supervision.reconcilliation/browse,5495
IndependentObserve,https://tlvgit03.nice.com/fmc-rd/cs/cs/IndependentObserve,http://bitbucket.cssrd.local/projects/CS/repos/independentobserve/browse,5363
EmailFilterService,https://tlvgit03.nice.com/fmc-rd/cs/cs/EmailFilterService,http://bitbucket.cssrd.local/projects/CS/repos/emailfilterservice/browse,5383
CS-ActOne,https://tlvgit03.nice.com/fmc-rd/cs/cs/CS-ActOne,http://bitbucket.cssrd.local/projects/CS/repos/cs-actone/browse,5374
AVA.Installer,https://tlvgit03.nice.com/fmc-rd/cs/cs/AVA.Installer,http://bitbucket.cssrd.local/projects/CS/repos/ava.installer/browse,5364
RCMPlugins,https://tlvgit03.nice.com/fmc-rd/cs/csp/RCMPlugins,http://bitbucket.cssrd.local/projects/CSP/repos/rcmplugins/browse,5461
InstallerDownloader,https://tlvgit03.nice.com/fmc-rd/cs/cs-test-tooling/InstallerDownloader,http://bitbucket.cssrd.local/projects/CSTT/repos/installerdownloader/browse,5419
Nice.QueryLevelReporting,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.QueryLevelReporting,http://bitbucket.cssrd.local/projects/CS/repos/nice.querylevelreporting/browse,5365
AttivioApi,https://tlvgit03.nice.com/fmc-rd/cs/cs/AttivioApi,http://bitbucket.cssrd.local/projects/CS/repos/attivioapi/browse,5366
AVA-Reports,https://tlvgit03.nice.com/fmc-rd/cs/cs/AVA-Reports,http://bitbucket.cssrd.local/projects/CS/repos/ava-reports/browse,5384
CoreLibraries.Nexidia.SearchGrid.Client,https://tlvgit03.nice.com/fmc-rd/cs/cs/CoreLibraries.Nexidia.SearchGrid.Client,http://bitbucket.cssrd.local/projects/CS/repos/corelibraries.nexidia.searchgrid.client/browse,5367
CyberTech.AlarmingV2,https://tlvgit03.nice.com/fmc-rd/cs/com/CyberTech.AlarmingV2,http://bitbucket.cssrd.local/projects/COM/repos/cybertech.alarmingv2/browse,5446
CyberTech.Alarming,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.Alarming,http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.alarming/browse,5401
CyberTechLibraries,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTechLibraries,http://bitbucket.cssrd.local/projects/ESS/repos/cybertechlibraries/browse,5402
CyberTech.RecorderDatabase,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CyberTech.RecorderDatabase,http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.recorderdatabase/browse,5403
CoreLibraries.Alarming.Interface,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Alarming.Interface,http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.alarming.interface/browse,5413
Nice.Connector.Attivio,https://tlvgit03.nice.com/fmc-rd/cs/cs/Nice.Connector.Attivio,http://bitbucket.cssrd.local/projects/CS/repos/nice.connector.attivio/browse,5368
CoreLibraries.Wix,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Wix,http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.wix/browse,5479
CS.InstallationPrerequisites,https://tlvgit03.nice.com/fmc-rd/cs/cs/CS.InstallationPrerequisites,http://bitbucket.cssrd.local/projects/CS/repos/cs.installationprerequisites/browse,5372
CoreLibraries,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries,http://bitbucket.cssrd.local/projects/COR/repos/corelibraries/browse,5421
CyberTech.SystemManager,https://tlvgit03.nice.com/fmc-rd/cs/com/CyberTech.SystemManager,http://bitbucket.cssrd.local/projects/COM/repos/cybertech.systemmanager/browse,5448
SharedLibraries.Authorization,https://tlvgit03.nice.com/fmc-rd/cs/com/SharedLibraries.Authorization,http://bitbucket.cssrd.local/projects/COM/repos/sharedlibraries.authorization/browse,5449
CoreLibraries.Encryption,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Encryption,http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.encryption/browse,5414
Nice.HelperLibraries.SecureDelete,https://tlvgit03.nice.com/fmc-rd/cs/essentials/Nice.HelperLibraries.SecureDelete,http://bitbucket.cssrd.local/projects/ESS/repos/nice.helperlibraries.securedelete/browse,5415
CoreLibraries.Audio.Converter,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.Audio.Converter,http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.audio.converter/browse,5422
CoreLibraries.Audio.NMF,https://tlvgit03.nice.com/fmc-rd/cs/in/CoreLibraries.Audio.NMF,http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.audio.nmf/browse,5480
CoreLibraries.Audio.Utils,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.Audio.Utils,http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.audio.utils/browse,5423
CoreLibraries.Licensing,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Licensing,http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.licensing/browse,5416
IOSP.REST,https://tlvgit03.nice.com/fmc-rd/cs/cs/IOSP.REST,http://bitbucket.cssrd.local/projects/CS/repos/iosp.rest/browse,5369
LibMp3Lame,https://tlvgit03.nice.com/fmc-rd/cs/third-party-wrappers/LibMp3Lame,http://bitbucket.cssrd.local/projects/TPW/repos/libmp3lame/browse,5395
NiceTradingRecording.Configuration.Interface,https://tlvgit03.nice.com/fmc-rd/cs/csms/NiceTradingRecording.Configuration.Interface,http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.configuration.interface/browse,5456
CoreLibraries.Wcf,https://tlvgit03.nice.com/fmc-rd/cs/essentials/CoreLibraries.Wcf,http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.wcf/browse,5417
SystemOverview.Authentication.Fusion,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Authentication.Fusion,http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.authentication.fusion/browse,5496
SystemOverview.Compass.Channels.Plugin,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Compass.Channels.Plugin,http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.compass.channels.plugin/browse,5497
SystemOverview.Webservice,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Webservice,http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.webservice/browse,5498
SystemOverview.Installer,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Installer,http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.installer/browse,5499
NiceApplications.Playback,https://tlvgit03.nice.com/fmc-rd/cs/ex/NiceApplications.Playback,http://bitbucket.cssrd.local/projects/EX/repos/niceapplications.playback/browse,5466
CoreLibraries.SQL.MySQL,https://tlvgit03.nice.com/fmc-rd/cs/corelibraries/CoreLibraries.SQL.MySQL,http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.sql.mysql/browse,5424
Monitoring.Client,https://tlvgit03.nice.com/fmc-rd/cs/cs/Monitoring.Client,http://bitbucket.cssrd.local/projects/CS/repos/monitoring.client/browse,5506
Observe.REST,https://tlvgit03.nice.com/fmc-rd/cs/cs/Observe.REST,http://bitbucket.cssrd.local/projects/CS/repos/observe.rest/browse,5507
